"Lab Title","Objective","Command Summary","Task Headers"
"Configuration Demo 1","Configure Router1, Router2, and Router3 so that every host in the topology can ping every other host. Switch1, Switch2, Switch3, and all six hosts have already been configured.
Lab Topology
    
    The lab topology displays information about the network devices in the lab.  When you load a lab in NetSim, there are several ways in which you can access devices in the currently active topology. The Devices pane displays all of the active devices in a specific lab, and you can choose whether to open each console device within the current browser by clicking the Console icon () or in a new window by clicking the New Window icon (). Alternatively, you can select the Topology tab and double-click on a device or select View from the menu, hover over Devices, and select the appropriate device.The topology for this lab contains five networks: the 203.0.113.0/30 and 203.0.113.4/30 wide area networks (WANs) that connect Router2 to Router1 and Router 3, the 192.168.10.0/24 local area network (LAN) that connects Host1 and Host2 to the FastEthernet 0/0 interface of Router1, the 192.168.20.0/24 LAN that connects Host3 and Host4 to the FastEthernet 0/0 interface of Router2, and the 192.168.30.0/24 LAN that connects Host5 and Host6 to the FastEthernet 0/0 interface of Router3. Enhanced Interior Gateway Routing Protocol (EIGRP) is used to exchange routing table updates between Router2 and the other two routers.","Command
      Description
     
    
    
     
      configure terminal
      enters global configuration mode from privileged EXEC mode
     
     
      enable
      enters privileged EXEC mode
     
     
      end
      ends and exits configuration mode
     
     
      exit
      exits one level in the menu structure
     
     
      hostname host-name
      sets the device name
     
     
      interface type number
      changes from global configuration mode to interface configuration mode
     
     
      ip address ip-address subnet mask
      assigns an Internet Protocol (IP) address to an interface
     
     
      network network-address wildcard-mask
      activates the specified routing protocol on the specified network
     
     
      ping ip-address
      sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
     
     
      router eigrp autonomous-system-number
      enters router configuration mode for EIGRP
     
     
      show ip route
      displays the IP routing table
     
     
      show running-config
      displays the active configuration file
     
     
      shutdown; no shutdown
      disables an interface; enables an interface
The IP addresses and subnet masks used in this lab are shown in the tables below:","Task 1: Configure Router LAN Interfaces | Task 2: Configure Router WAN Interfaces | Task 3: Configure EIGRP | Task 4: Verify Network Connectivity"
"Using NetSim Online","Learn to save and reload configurations from within NetSim. Configure Router1 with the appropriate settings.
Lab Topology
    
    
     The lab topology displays information about the network devices in the lab. The topology in this lab contains three 2800 series Cisco routers.","The command summary contains a list of commands that are pertinent to the lab. You should review the list of commands before performing the steps in the lab.
Command
      Description
     
    
    
     
      configure terminal
      enters global configuration mode from privileged EXEC mode
     
     
      enable
      enters privileged EXEC mode
     
     
      end
      ends and exits configuration mode
     
     
      exit
      exits one level in the menu structure
     
     
      hostname host-name
      sets the device name
Lab Tasks
    
    
     Task 1: Configure the Router
    
    
     This task involves entering a few basic commands to prepare for saving and loading configurations. You do not need to understand what the commands mean at this point, because each command will be covered in more detail in other NetSim labs.
     If you want to access a console session for a device in an active lab’s topology, you can select the device from the Devices pane. For example, you can click one of the icons next to Router2 on the Devices pane to view the console in either a local tab or a new tab.
    
    
     
    
    
     In addition, you can click the Topology tab to display the network topology for the lab. When the lab topology is displayed, you can double-click a device to display that device’s console locally.
    
    
     
      
       When the lab has finished loading, you can begin examining the topology. Open the console of Router1 by using one of the methods described above. Click inside the Router1 console window, and press the Enter key. 
      
       Router>
      
      At the start of any NetSim lab, left-click inside the command-line interface (CLI) window and press Enter to begin working with the device.
      When you first connect to a Cisco device (either in a live network environment or in NetSim), the device is waiting for your first keystroke. Pressing Enter causes the following actions:
      
       Signals to the CLI that you're ready to start
       Triggers the device to display any login or banner messages
       Synchronizes your terminal session with the device
      
      The prompt will not appear and commands will not be accepted until you press Enter.
      
     
     
      
       To practice using the saving and loading features of NetSim, you will first configure a host name so that you have a configuration to save and load. At the
      Router> prompt, type the command enable and press Enter.
      
       Router>enable 
       Router#
      
      
     
     
      
       At the
      Router# prompt, type the configure terminal command and press Enter.
      
       Router#configure terminal 
       Router(config)#
      
      
     
     
      
       At the
      Router(config)# prompt, type the hostname Router1 command and press Enter.
      
       Router(config)#hostname Router1 
       Router1(config)#
      
      
     
     
      
       If the prompt displayed is
      Router1(config)#, you have successfully completed this task.
      
     
     
      
       To grade a lab you have completed, click the Grade button () in the toolbar. A new tab will open that displays a summary of your results. You can then click on each device tab to view a comparison between the commands you issued for that device and the required commands to grade correctly.
       Devices that have missing or extra commands will display a red X beside the device name in the tab. Devices on which all commands have been issued correctly will display a green checkmark beside the device name in the tab.
      
     
     
      
       To return to a lab so that you can continue working after grading, click Resume Lab on the right side of the toolbar.
      
     
    
    
     Task 2: Save a Configuration, and then Load the Configuration
    
    
     This task introduces you to saving configuration files while using NetSim. Labs are not saved automatically while you work. Saving labs prevents you from losing work when NetSim times out after a period of inactivity.
    
    
     
      
       NetSim provides built-in support for saving device configurations. Click the File button () in the toolbar, then click Save As to save your changes to Router1’s configuration. If, during one NetSim session, you configured multiple devices, this action would save all of those configurations. The file will be saved with the *.lab extension.
      
     
     
      
       You can load the saved lab with the configurations you have performed by clicking File > Open and selecting the file, or you can start the lab from the beginning by reloading the Using NetSim lab from the lab tree.
      
     
     
      
       Practice loading the configurations you performed in the lab by loading the file you saved. To accomplish this, click File > Open in the toolbar and navigate to the file that you saved in Step 1 of this task.
       NetSim will load the configuration from the *.lab file you created and will execute all the commands that were saved for Router1 in that file. When the loading process completes, press Enter to see that Router1’s host name is Router1.
Sample Configuration Script
    
    
     
      
       Router1
      
     
     
      
       
        
         Router1#show running-config 
         Building configuration...
         Current configuration : 695 bytes
         !
         Version 15.b
         service timestamps debug uptime
         service timestamps log uptime
         no service password-encryption
         !
         hostname Router1
         !
         ip subnet-zero
         !
         ip cef
         no ip domain-lookup
         !
         interface Serial0/0/0
          no ip address
          no ip directed-broadcast
          shutdown
         !
         interface Serial0/0/1
          no ip address
          no ip directed-broadcast
          shutdown
         !
         interface FastEthernet0/0
          no ip address
          no ip directed-broadcast
          shutdown
         !
         interface FastEthernet0/1
          no ip address
          no ip directed-broadcast
          shutdown
         !
         ip classless
         no ip http server
         !
         line con 0
         line aux 0
         line vty 0 4
         !
         no scheduler allocate
         end
Copyright © 1996 - 2026 Boson Software, LLC. All rights reserved. NetSim software and documentation are protected by copyright law.","Task 1: Configure the Router | Task 2: Save a Configuration, and then Load the Configuration"
"Explore Cisco Devices","In this lab, you will learn how to interpret a network topology diagram. You will also learn how to navigate the Cisco IOS. The routers, switches, servers, and laptops in this lab have already been configured.","Command
      Description
     
    
    
     
      configure terminal
      enters global configuration mode from privileged EXEC mode
     
     
      enable
      enters privileged EXEC mode
     
     
      end
      ends and exits configuration mode
     
     
      exit
      exits one level in the menu structure
     
     
      interface type number
      changes from global configuration mode to interface configuration mode
     
     
      show clock
      displays the system clock
     
     
      show history
      displays the session command history
     
     
      show version
      displays the system hardware version and software status
The IP addresses and subnet masks used in this lab are shown in the tables below:","Task 1: Learn About Network Topology Diagrams | Task 2: Navigate the Cisco IOS"
"Router Basics","In this lab, you will learn the basic operation of a router. A router is used to forward packets between computer networks. Routers create separate broadcast domains. Each device that is connected to a router resides in a separate broadcast domain. In this lab, you will explore these concepts and learn how routers enable separate networks to communicate with each other.
     No routing protocols, static routes, or default gateways have been configured on the routers in this lab.","Command
      Description
     
    
    
     
      ping ip-address
      sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
     
     
      show ip route
      displays the routing table
The IP addresses and subnet masks used in this lab are shown in the tables below:","Task 1: Explore a Broadcast Domain | Task 2: Explore a Router’s Role in a Broadcast Domain | Task 3: Exploring How a Router Forwards Packets"
"Switch Basics","In this lab, you will learn the basic operation of a switch. Switches provide network connectivity to endpoint devices. Switches can operate at Layer 2 or Layer 3. Layer 2 switches use the Media Access Control (MAC) addresses of data recipients to deliver frames, whereas Layer 3 switches add routing functionality. In this lab, you will explore these concepts and learn how switches forward information between endpoint devices.","Command
      Description
     
    
    
     
      enable
      enters privileged EXEC mode
     
     
      ping ip-address
      sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
     
     
      ipconfig /all
      is used in NetSim to display the Internet Protocol (IP) addresses and MAC address on a workstation 
     
     
      show ip arp
      displays the IP Address Resolution Protocol (ARP) table
     
     
      show mac-address-table
      displays the MAC address forwarding table
The IP addresses and subnet masks used in this lab are shown in the tables below:","Task 1: Explore Layer 2 Switching in a Broadcast Domain | Task 2: Explore Layer 3 Switching in a Broadcast Domain"
"Configure a Cisco Device","In this lab, you will learn how to configure a Cisco IOS device from an unconfigured state. You will configure both Cisco IOS routers and Layer 2 Cisco IOS switches for basic connectivity to the network. You will configure two devices manually. You will also configure two devices by using the System Configuration Dialog. The servers and laptops in this lab have already been configured. In addition, the Layer 3 switch has already been configured.","Command
      Description
     
    
    
     
      configure terminal
      enters global configuration mode from privileged EXEC mode
     
     
      copy running-config startup-config
      saves the configuration file
     
     
      enable
      enters privileged EXEC mode
     
     
      enable password password
      sets the enable password
     
     
      enable secret password
      sets the enable secret password
     
     
      end
      ends and exits configuration mode
     
     
      exit
      exits one level in the menu structure
     
     
      hostname host-name
      sets the device name
     
     
      interface type number
      changes from global configuration mode to interface configuration mode
     
     
      ip address ip-address subnet-mask
      assigns an IP address and subnet mask to an interface
     
     
      line vty 0 15
      enters configuration mode for the specified virtual terminal (VTY) lines
     
     
      login
      enables password checking
     
     
      password password
      specifies the password that is required for a user to log in
     
     
      ping ip-address
      sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
     
     
      reload
      reboots the router
     
     
      show running-config
      displays the active configuration file
     
     
      show startup-config
      displays the backup configuration file
     
     
      shutdown; no shutdown
      disables an interface; enables an interface
The IP addresses and subnet masks used in this lab are shown in the tables below:","Task 1: Configure a Cisco Router by Using the System Configuration Dialog | Task 2: Configure a Cisco Switch by Using the System Configuration Dialog | Task 3: Manually Configure a Cisco Router and Switch"
"Interpret Interface Errors","In this lab, you will learn how to interpret interface errors, including shutdown interfaces, duplex mismatches, and speed mismatches. You will also learn how to interpret the output of the show interfaces command. The switches and computers in this lab have already been configured.","Command
      Description
     
    
    
     
      configure terminal
      enters global configuration mode from privileged EXEC mode
     
     
      copy running-config startup-config
      saves the configuration file
     
     
      duplex {auto | full | half}
      configures the duplex of an interface
     
     
      enable
      enters privileged EXEC mode
     
     
      end
      ends and exits configuration mode
     
     
      exit
      exits one level in the menu structure
     
     
      interface type number
      changes from global configuration mode to interface configuration mode
     
     
      ping ip-address
      sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
     
     
      show interfaces type number
      display the interface status and configuration for an interface
     
     
      show interfaces status
      display the line status for all interfaces
     
     
      shutdown; no shutdown
      disables an interface; enables an interface
     
     
      speed {10 | 100 | auto}
      configures the speed of an interface
The IP addresses and subnet masks used in this lab are shown in the table below:","Task 1: Troubleshoot Shut-down Interfaces | Task 2: Troubleshoot Duplex Mismatches | Task 3: Troubleshoot Speed Mismatches"
"Configure Global IPv4 Addressing","In this lab, you will learn about global unicast Internet Protocol version 4 (IPv4) addressing. IP is a routed protocol and a logical addressing method that operates at the Network layer of the Open Systems Interconnection (OSI) model. IPv4 supports unicast, multicast, and broadcast addressing of packets. Global unicast IPv4 addresses are routable over the Internet. In this lab, you will configure global unicast IPv4 addressing on world-facing devices. The IPv4 addressing ranges used in this lab are reserved and typically used for demonstration and documentation only. For this lab, these ranges will be treated as Internet-routable ranges.","Command
      Description
     
    
    
     
      configure terminal
      enters global configuration mode from privileged EXEC mode
     
     
      enable
      enters privileged EXEC mode
     
     
      end
      ends and exits configuration mode
     
     
      exit
      exits one level in the menu structure
     
     
      interface type number
      changes from global configuration mode to interface configuration mode
     
     
      ip address ip-address subnet-mask
      assigns an IP address and subnet mask to an interface
     
     
      ipconfig /dg ip-address
      is used in NetSim to assign a default gateway IP address to a workstation interface
     
     
      ipconfig /ip ip-address subnet-mask
      is used in NetSim to assign an IP address and subnet mask to a workstation interface
     
     
      ip routing
      enables IPv4 routing capabilities on a router or Layer 3 switch
     
     
      ping ip-address
      sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
     
     
      shutdown; no shutdown
      disables an interface; enables an interface
     
     
      no switchport
      disables Layer 2 switching on a switchport and allows the configuration of Layer 3 network addresses on the port
The IP addresses and subnet masks used in this lab are shown in the tables below:","Task 1: Explore Global IPv4 Addressing | Task 2: Configure Global IPv4 Addressing"
"Configure RFC 1918 IP Addressing","In this lab, you will learn about Internet Protocol version 4 (IPv4) addressing by using ranges defined by Request for Comments (RFC) 1918. IP is a routed protocol and a logical addressing method that operates at the Network layer of the Open Systems Interconnection (OSI) model. IPv4 supports unicast, multicast, and broadcast addressing of packets. Unlike other IPv4 address ranges, RFC 1918 IPv4 addresses are not routable over the Internet. In this lab, you will configure an RFC 1918 IPv4 address range on devices that should not directly access the Internet.","Command
      Description
     
    
    
     
      configure terminal
      enters global configuration mode from privileged EXEC mode
     
     
      enable
      enters privileged EXEC mode
     
     
      end
      ends and exits configuration mode
     
     
      interface type number
      changes from global configuration mode to interface configuration mode
     
     
      ip address ip-address subnet-mask
      assigns an IP address and subnet mask to an interface
     
     
      ipconfig /dg ip-address
      is used in NetSim to assign a default gateway IP address to a workstation interface
     
     
      ipconfig /ip ip-address subnet-mask
      is used in NetSim to assign an IP address and subnet mask to a workstation interface
     
     
      no switchport
      disables Layer 2 switching on a switchport and allows the configuration of Layer 3 network addresses on the port
     
     
      ping ip-address
      sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
The IP addresses and subnet masks used in this lab are shown in the tables below:","Task 1: Explore RFC 1918 IPv4 Addressing | Task 2: Configure RFC 1918 IPv4 Addressing"
