Lab_ID,Lab_Title,Objective,Commands,Command_Details,Task_Headers,Task_Count,Command_Count,CCNA_Topics
1,Configuration Demo 1,"Configure Router1, Router2, and Router3 so that every host in the topology can ping every other host. Switch1, Switch2, Switch3, and all six hosts have already been configured.",configure terminal; enable; end; exit; hostname host-name; interface type number; ip address ip-address subnet mask; network network-address wildcard-mask; ping ip-address; router eigrp autonomous-system-number; show ip route; show running-config; shutdown; no shutdown,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• hostname host-name — sets the device name
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet mask — assigns an Internet Protocol (IP) address to an interface
• network network-address wildcard-mask — activates the specified routing protocol on the specified network
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• router eigrp autonomous-system-number — enters router configuration mode for EIGRP
• show ip route — displays the IP routing table
• show running-config — displays the active configuration file
• shutdown; no shutdown — disables an interface; enables an interface",Task 1: Configure Router LAN Interfaces | Task 2: Configure Router WAN Interfaces | Task 3: Configure EIGRP | Task 4: Verify Network Connectivity,4,13,"Device Basics, EIGRP, IPv4 Addressing, Interface Configuration, Routing Fundamentals, Static Routes"
2,Using NetSim Online,Learn to save and reload configurations from within NetSim. Configure Router1 with the appropriate settings.,configure terminal; enable; end; exit; hostname host-name,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• hostname host-name — sets the device name","Task 1: Configure the Router | Task 2: Save a Configuration, and then Load the Configuration",2,5,Device Basics
3,Explore Cisco Devices,"In this lab, you will learn how to interpret a network topology diagram. You will also learn how to navigate the Cisco IOS. The routers, switches, servers, and laptops in this lab have already been configured.",configure terminal; enable; end; exit; interface type number; show clock; show history; show version,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• show clock — displays the system clock
• show history — displays the session command history
• show version — displays the system hardware version and software status",Task 1: Learn About Network Topology Diagrams | Task 2: Navigate the Cisco IOS,2,8,"Device Basics, Interface Configuration"
4,Router Basics,"In this lab, you will learn the basic operation of a router. A router is used to forward packets between computer networks. Routers create separate broadcast domains.",ping ip-address; show ip route,"• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show ip route — displays the routing table",Task 1: Explore a Broadcast Domain | Task 2: Explore a Router’s Role in a Broadcast Domain | Task 3: Exploring How a Router Forwards Packets,3,2,"Routing Fundamentals, Static Routes"
5,Switch Basics,"In this lab, you will learn the basic operation of a switch. Switches provide network connectivity to endpoint devices. Switches can operate at Layer 2 or Layer 3.",enable; ping ip-address; ipconfig /all; show ip arp; show mac-address-table,"• enable — enters privileged EXEC mode
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• ipconfig /all — is used in NetSim to display the Internet Protocol (IP) addresses and MAC address on a workstation
• show ip arp — displays the IP Address Resolution Protocol (ARP) table
• show mac-address-table — displays the MAC address forwarding table",Task 1: Explore Layer 2 Switching in a Broadcast Domain | Task 2: Explore Layer 3 Switching in a Broadcast Domain,2,5,"Device Basics, IPv4 Addressing"
6,Configure a Cisco Device,"In this lab, you will learn how to configure a Cisco IOS device from an unconfigured state. You will configure both Cisco IOS routers and Layer 2 Cisco IOS switches for basic connectivity to the network. You will configure two devices manually.",configure terminal; copy running-config startup-config; enable; enable password password; enable secret password; end; exit; hostname host-name; interface type number; ip address ip-address subnet-mask,"• configure terminal — enters global configuration mode from privileged EXEC mode
• copy running-config startup-config — saves the configuration file
• enable — enters privileged EXEC mode
• enable password password — sets the enable password
• enable secret password — sets the enable secret password
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• hostname host-name — sets the device name
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface",Task 1: Configure a Cisco Router by Using the System Configuration Dialog | Task 2: Configure a Cisco Switch by Using the System Configuration Dialog | Task 3: Manually Configure a Cisco Router and Switch,3,10,"Device Basics, IPv4 Addressing, Interface Configuration, Password Security"
7,Interpret Interface Errors,"In this lab, you will learn how to interpret interface errors, including shutdown interfaces, duplex mismatches, and speed mismatches. You will also learn how to interpret the output of the show interfaces command. The switches and computers in this lab have already been configured.",configure terminal; copy running-config startup-config; duplex {auto | full | half}; enable; end; exit; interface type number; ping ip-address; show interfaces type number; show interfaces status; shutdown; no shutdown; speed {10 | 100 | auto},"• configure terminal — enters global configuration mode from privileged EXEC mode
• copy running-config startup-config — saves the configuration file
• duplex {auto | full | half} — configures the duplex of an interface
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show interfaces type number — display the interface status and configuration for an interface
• show interfaces status — display the line status for all interfaces
• shutdown; no shutdown — disables an interface; enables an interface
• speed {10 | 100 | auto} — configures the speed of an interface",Task 1: Troubleshoot Shut-down Interfaces | Task 2: Troubleshoot Duplex Mismatches | Task 3: Troubleshoot Speed Mismatches,3,12,"Device Basics, Interface Configuration"
8,Configure Global IPv4 Addressing,"In this lab, you will learn about global unicast Internet Protocol version 4 (IPv4) addressing. IP is a routed protocol and a logical addressing method that operates at the Network layer of the Open Systems Interconnection (OSI) model. IPv4 supports unicast, multicast, and broadcast addressing of packets.",configure terminal; enable; end; exit; interface type number; ip address ip-address subnet-mask; ipconfig /dg ip-address; ipconfig /ip ip-address subnet-mask; ip routing; ping ip-address; shutdown; no shutdown; no switchport,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface
• ipconfig /dg ip-address — is used in NetSim to assign a default gateway IP address to a workstation interface
• ipconfig /ip ip-address subnet-mask — is used in NetSim to assign an IP address and subnet mask to a workstation interface
• ip routing — enables IPv4 routing capabilities on a router or Layer 3 switch
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• shutdown; no shutdown — disables an interface; enables an interface
• no switchport — disables Layer 2 switching on a switchport and allows the configuration of Layer 3 network addresses on the port",Task 1: Explore Global IPv4 Addressing | Task 2: Configure Global IPv4 Addressing,2,12,"Device Basics, IPv4 Addressing, Interface Configuration"
9,Configure RFC 1918 IP Addressing,"In this lab, you will learn about Internet Protocol version 4 (IPv4) addressing by using ranges defined by Request for Comments (RFC) 1918. IP is a routed protocol and a logical addressing method that operates at the Network layer of the Open Systems Interconnection (OSI) model. IPv4 supports unicast, multicast, and broadcast addressing of packets.",configure terminal; enable; end; interface type number; ip address ip-address subnet-mask; ipconfig /dg ip-address; ipconfig /ip ip-address subnet-mask; no switchport; ping ip-address,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface
• ipconfig /dg ip-address — is used in NetSim to assign a default gateway IP address to a workstation interface
• ipconfig /ip ip-address subnet-mask — is used in NetSim to assign an IP address and subnet mask to a workstation interface
• no switchport — disables Layer 2 switching on a switchport and allows the configuration of Layer 3 network addresses on the port
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address",Task 1: Explore RFC 1918 IPv4 Addressing | Task 2: Configure RFC 1918 IPv4 Addressing,2,9,"Device Basics, IPv4 Addressing, Interface Configuration"
10,Subnet an IPv4 Network,"Subnetting is a technique used to divide a network into smaller subnetworks. In this lab, you will learn how to subnet a network. You will also practice subnetting a network into a series of smaller networks.",configure terminal; enable; end; exit; interface type number; ip address ip-address subnet-mask; ipconfig /dg ip-address; ipconfig /ip ip-address subnet-mask; no switchport; ping ip-address; shutdown; no shutdown,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface
• ipconfig /dg ip-address — is used in NetSim to assign a default gateway IP address to a workstation interface
• ipconfig /ip ip-address subnet-mask — is used in NetSim to assign an IP address and subnet mask to a workstation interface
• no switchport — disables Layer 2 switching on a switchport and allows the configuration of Layer 3 network addresses on the port
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• shutdown; no shutdown — disables an interface; enables an interface",Task 1: Explore Subnetting | Task 2: Subnet and Configure an IP Address Range,2,11,"Device Basics, IPv4 Addressing, Interface Configuration"
11,Configure VLSM on an IPv4 Network,"You have been allocated a Classless Inter-Domain Routing (CIDR) block, from which you must assign subnets to the various networks in the lab exercise. Use Dynamic Host Configuration Protocol (DHCP) to deliver Internet Protocol (IP) addresses to department workstations. Create an IP addressing plan using the CIDR block you have been given.",configure terminal; enable; end; exit; interface type number; interface type number subinterface-id; ip address ip-address subnet-mask; ipconfig /all; ipconfig /dg ip-address; ipconfig /ip ip-address subnet-mask; ping ip-address; show running-config; show vlan brief,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• interface type number subinterface-id — creates a subinterface
• ip address ip-address subnet-mask — assigns an IP address to an interface
• ipconfig /all — displays detailed IP address configuration information on a PC
• ipconfig /dg ip-address — is used in NetSim to assign a default gateway IP address to a workstation interface
• ipconfig /ip ip-address subnet-mask — is used in NetSim to assign an IP address and subnet mask to a workstation interface
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show running-config — displays the active configuration file
• show vlan brief — displays parameters for all virtual local area networks (VLANs); contains the VLAN’s name, status, and ports assigned to it",Task 1: Review and Analyze the Assigned Address Block | Task 2: Assign IP Addresses to Router1 Subinterfaces | Task 3: Assign IP Addresses to Switch1 SVIs | Task 4: Assign IP Addresses to Workstations,4,13,"DHCP, Device Basics, IPv4 Addressing, Interface Configuration, VLANs"
12,Configure IPv6 Address Types,"Internet Protocol version 6 (IPv6) offers several improvements over IP version 4 (IPv4), including a simplified header, native IP Security (IPSec) protocol support, and improved route aggregation. IPv6 uses a 128-bit address space, which provides enough unique addresses to meet future demand. In this lab, you will learn about IPv6 address types and implement IPv6 addressing on the network.",configure terminal; enable; end; interface type number; ip address ip-address subnet-mask; ipv6 address address/prefix-length; ipv6 router rip process-name; ipv6 rip process-name enable; ipv6 unicast-routing; ping ip-address; ping ipv6 ipv6-address; show interfaces [type number]; show ip interface brief; show ipv6 interface brief; show ipv6 route; show running-config,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IPv4 address to an interface
• ipv6 address address/prefix-length — configures an IPv6 address for an interface
• ipv6 router rip process-name — configures a router for Routing Information Protocol next generation (RIPng)
• ipv6 rip process-name enable — configures an interface for RIPng
• ipv6 unicast-routing — enables IPv6 routing
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• ping ipv6 ipv6-address — sends an ICMP Echo Request to the specified IPv6 address
• show interfaces [type number] — displays the interface’s Data Link layer status; when the type and number parameters are included, displays detailed information about the specified interface
• show ip interface brief — displays a brief summary of interface status and configuration
• show ipv6 interface brief — displays a brief summary of interface status and configuration
• show ipv6 route — displays the IP routing table
• show running-config — displays the active configuration file",Task 1: Examine the Initial Network Configuration | Task 2: Explore IPv6 and Understand IPv6 Addresses | Task 3: Implement IPv6 | Task 4: Verify IPv6,4,16,"Device Basics, IPv4 Addressing, IPv6 Addressing, Interface Configuration, NAT, RIP, Static Routes"
13,Configure IPv6 by Using Modified EUI-64,"In this lab, you will configure an automatic Internet Protocol version 6 (IPv6) addressing environment on Layer 3 switches by using modified extended unique identifier (EUI)-64. Similar to IP version 4 (IPv4), each IPv6 host on a network must have a unique address assigned to it. Because of the large address space provided by IPv6, hosts can use the Media Access Control (MAC) address assigned to them during the manufacturing process as part of the interface ID portion of their IPv6 address.",configure terminal; enable; end; exit; interface type number; ipv6 address ipv6-address/prefix-length; ipv6 address autoconfig; ipv6 enable; ipv6 unicast-routing; ping ipv6 ipv6-address; show hosts; show ipv6 interface [brief] [type number]; show running-config,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• ipv6 address ipv6-address/prefix-length — configures an IPv6 address for an interface
• ipv6 address autoconfig — configures an IPv6 address on an interface by using SLAAC
• ipv6 enable — enables IPv6 on an interface
• ipv6 unicast-routing — enables IPv6 routing
• ping ipv6 ipv6-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified IPv6 address
• show hosts — displays the default domain name, a list of name server hosts, and a cached list of host names and addresses
• show ipv6 interface [brief] [type number] — displays a brief summary of each IPv6 interface’s configuration and status
• show running-config — displays the active configuration file",Task 1: Configure IPv6 on CORE | Task 2: Configure SLAAC on Router3,2,13,"Device Basics, IPv6 Addressing, Interface Configuration"
14,Explore the MAC Address Table,"Switches are responsible for switching frames by using a Media Access Control (MAC) address, which is a physical address. When a switch receives a frame, the switch adds the source MAC address to the switching table if the address does not already exist. Then the switch will check the switching table to determine whether the destination MAC address is listed.",configure terminal; enable; end; interface type number; ipconfig /all; ping ip-address; show interfaces [type number]; show ip interface brief; show mac-address-table; show running-config; shutdown; no shutdown,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• interface type number — changes from global configuration mode to interface configuration mode
• ipconfig /all — displays detailed IP address configuration information on a PC
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show interfaces [type number] — displays the interface’s Data Link layer status; when the type and number parameters are included, displays detailed information about the specified interface
• show ip interface brief — displays a brief summary of interface status and configuration
• show mac-address-table — displays the MAC forwarding table on a switch
• show running-config — displays the active configuration file
• shutdown; no shutdown — disables an interface; enables a disabled interface",Task 1: Examine the Network Configuration | Task 2: Explore the MAC Address Table,2,11,"Device Basics, IPv4 Addressing, Interface Configuration, NAT"
15,Implement IPv4 Addressing,"In this lab, you will practice configuring Internet Protocol version 4 (IPv4) addressing on a complex network topology. The IPv4 addressing ranges used in this lab are reserved and typically used for either private networks or documentation only. You will appropriately subnet these IPv4 ranges and then configure one or more Internet Protocol (IP) addresses on each device.",configure terminal; enable; end; exit; interface type number; ip address ip-address subnet-mask; ipconfig /dg ip-address; ipconfig /ip ip-address subnet-mask; ping ip-address; shutdown; no shutdown; no switchport,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface
• ipconfig /dg ip-address — is used in NetSim to assign a default gateway IP address to a workstation interface
• ipconfig /ip ip-address subnet-mask — is used in NetSim to assign an IP address and subnet mask to a workstation interface
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• shutdown; no shutdown — disables an interface; enables an interface
• no switchport — disables Layer 2 switching on a switchport and allows the configuration of Layer 3 network addresses on the port",Task 1: Subnet IPv4 Networks | Task 2: Configure IPv4 Addressing,2,11,"Device Basics, IPv4 Addressing, Interface Configuration"
16,Implement IPv6 Addressing,"In this lab, you will practice configuring Internet Protocol version 6 (IPv6) addressing. You will manually assign global unicast IPv6 addresses to some interfaces. In addition, you will configure other interfaces by using modified extended unique identifier (EUI)-64 and Stateless Address Autoconfiguration (SLAAC).",configure terminal; enable; end; exit; interface type number; ipconfig /all; ipconfig /ipv6 autoconfig; ipv6 address ipv6-address/prefix-length; ipv6 address autoconfig; ipv6 enable; ipv6 unicast-routing; ping ipv6 ipv6-address; show interfaces [type slot/port]; show ipv6 interface [brief] [type number]; show running-config,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — changes from global configuration mode to interface configuration mode
• ipconfig /all — displays detailed IP configuration information on a host
• ipconfig /ipv6 autoconfig — configures an IPv6 address on a host interface by using SLAAC
• ipv6 address ipv6-address/prefix-length — configures an IPv6 address for an interface
• ipv6 address autoconfig — configures an IPv6 address on an interface by using SLAAC
• ipv6 enable — enables IPv6 on an interface
• ipv6 unicast-routing — enables IPv6 routing
• ping ipv6 ipv6-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified IPv6 address
• show interfaces [type slot/port] — displays statistics for interfaces configured on the device
• show ipv6 interface [brief] [type number] — displays a brief summary of each IPv6 interface’s configuration and status
• show running-config — displays the active configuration file",Task 1: Manually Configure IPv6 Addresses | Task 2: Configure Modified EUI-64 IPv6 Addresses by Using SLAAC,2,15,"Device Basics, IPv4 Addressing, IPv6 Addressing, Interface Configuration"
17,Boson CCNA Challenge Lab 1,"In this lab, you will configure a new, unconfigured network. When your work is complete, you should be able to ping every device on the local area network (LAN) from Host1 by using an Internet Protocol version 4 (IPv4) address. You will also configure Router1, Router2, DSW1, DSW2, Host1, Host2, and Host3 with an IP version 6 (IPv6) address.",configure terminal; copy running-config startup-config; enable; end; exit; hostname host-name; interface type number; ip address ip-address subnet-mask; ipconfig /dg ip-address; ipconfig /ip ip-address subnet-mask; ipconfig /ipv6 autoconfig; ipv6 address ipv6-address/prefix-length; ipv6 address autoconfig; ipv6 unicast-routing; ping ip-address; show interfaces [type slot/port]; show ipv6 interface [brief] [type number]; show running-config; shutdown; no shutdown,"• configure terminal — enters global configuration mode from privileged EXEC mode
• copy running-config startup-config — saves the configuration file
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• hostname host-name — configures a host name on a Cisco device
• interface type number — changes from global configuration mode to interface configuration mode
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface
• ipconfig /dg ip-address — is used in NetSim to assign a default gateway IP address to a workstation interface
• ipconfig /ip ip-address subnet-mask — is used in NetSim to assign an IP address and subnet mask to a workstation interface
• ipconfig /ipv6 autoconfig — configures an IPv6 address on a NetSim PC by using Stateless Address Autoconfiguration (SLAAC)
• ipv6 address ipv6-address/prefix-length — configures an IPv6 address for an interface
• ipv6 address autoconfig — configures an IPv6 address on an interface by using SLAAC
• ipv6 unicast-routing — enables IPv6 routing
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show interfaces [type slot/port] — displays statistics for interfaces configured on the device
• show ipv6 interface [brief] [type number] — displays a brief summary of each IPv6 interface’s configuration and status
• show running-config — displays the active configuration file
• shutdown; no shutdown — disables an interface; enables an interface",Task 1: Configure the IPv4 Network | Task 2: Configure the IPv6 Network,2,19,"Device Basics, IPv4 Addressing, IPv6 Addressing, Interface Configuration"
18,Explore and Configure Switch Access Ports,"In this lab, you will learn how to create, configure, examine, and delete virtual LANs (VLANs) on a switch. You will also learn how to configure an interface to be an access port and how to assign the interface to a VLAN. Trunk ports between Switch1 and Switch2 have already been configured.",configure terminal; enable; end; exit; interface type number; interface range type [module/][slot/]starting-port - ending-port; ip address ip-address subnet-mask; name vlan-name; ping ip-address; show interfaces [type number]; show interfaces status; show vlan brief; shutdown; no shutdown; switchport access vlan vlan-id; switchport mode access; vlan number [name vlan-name],"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — enters interface configuration mode
• interface range type [module/][slot/]starting-port - ending-port — enters interface configuration mode for a range of interfaces
• ip address ip-address subnet-mask — assigns an Internet Protocol (IP) address and subnet mask to an interface
• name vlan-name — configures a name for a VLAN
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show interfaces [type number] — displays interface statistics
• show interfaces status — displays the line status of all interfaces
• show vlan brief — displays parameters for all VLANs; contains the VLAN name, status, and ports assigned to it
• shutdown; no shutdown — disables an interface; enables an interface
• switchport access vlan vlan-id — assigns an access port to a VLAN
• switchport mode access — configures an interface as an access port
• vlan number [name vlan-name] — creates or configures a VLAN with an optional name",Task 1: Configure VLANs | Task 2: Configure Access Ports,2,16,"Device Basics, IPv4 Addressing, Interface Configuration, VLANs"
19,Explore and Configure Switch Trunk Ports,"In this lab, you will learn how to configure and verify trunk ports on a switch. You will also learn about Dynamic Trunking Protocol (DTP) modes. Access ports on Switch1 and Switch2 have already been configured.",configure terminal; enable; end; exit; interface type number; ping ip-address; show interfaces [type number] switchport; show interfaces [type number] trunk; switchport mode {trunk | dynamic auto | dynamic desirable}; switchport nonegotiate; switchport trunk encapsulation dot1q,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — enters interface configuration mode
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show interfaces [type number] switchport — displays interface switchport information
• show interfaces [type number] trunk — displays interface trunk information
• switchport mode {trunk | dynamic auto | dynamic desirable} — configures the DTP mode for an interface
• switchport nonegotiate — disables DTP on an interface
• switchport trunk encapsulation dot1q — configures an interface to use 802.1Q encapsulation",Task 1: Understand Trunk Mode | Task 2: Understand Dynamic Auto Mode | Task 3: Understand Dynamic Desirable Mode | Task 4: Understand Nonegotiate Mode,4,11,"Device Basics, InterVLAN Routing, Interface Configuration, VLANs"
20,Configure InterVLAN Routing,"A virtual local area network (VLAN) is a network virtualization mechanism that enables a Layer 2 switch to function as multiple virtual switches. Traffic within one VLAN is isolated from traffic in all other VLANs; therefore, hosts on one VLAN cannot communicate with hosts on other VLANs unless the traffic is routed between the VLANs by using a router or a Layer 3 switch. Routing between VLANs is called interVLAN routing.",configure terminal; enable; encapsulation dot1q vlan-id; end; exit; interface type number; interface type number subinterface-id; ip address ip-address subnet-mask; no shutdown; ping ip-address; show ip route; show running-config; switchport mode {trunk | dynamic auto | dynamic desirable}; switchport trunk encapsulation dot1q; switchport nonegotiate,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• encapsulation dot1q vlan-id — configures a router interface to use 802.1Q encapsulation for the specified VLAN ID
• end — ends and exits configuration mode
• exit — exits one level in the menu structure
• interface type number — enters interface configuration mode
• interface type number subinterface-id — creates a subinterface
• ip address ip-address subnet-mask — assigns an IP address and subnet mask to an interface
• no shutdown — enables an interface
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show ip route — displays the IP routing table
• show running-config — displays the active configuration file
• switchport mode {trunk | dynamic auto | dynamic desirable} — configures the DTP mode for an interface
• switchport trunk encapsulation dot1q — configures an interface to use 802.1Q encapsulation
• switchport nonegotiate — disables Dynamic Trunking Protocol (DTP)",Task 1: Verify the Current Configuration | Task 2: Configure InterVLAN Routing | Task 3: Verify InterVLAN Routing,3,15,"Device Basics, IPv4 Addressing, InterVLAN Routing, Interface Configuration, Routing Fundamentals, Static Routes, VLANs"
21,Explore the Native VLAN,"The 802.1Q encapsulation protocol provides support for native virtual local area networks (VLANs). Each 802.1Q trunk port has exactly one native VLAN. Normally, when traffic is sent on a VLAN, a 4-byte VLAN tag is inserted into the Ethernet header to identify the VLAN to which the traffic belongs.",configure terminal; enable; end; interface type number; ping ip-address; show interfaces status; show interfaces [interface-id] switchport; show interfaces [interface-id] trunk; switchport trunk native vlan vlan-id; show running-config,"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• interface type number — changes from global configuration mode to interface configuration mode
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show interfaces status — displays the line status of all interfaces
• show interfaces [interface-id] switchport — displays interface switchport information
• show interfaces [interface-id] trunk — displays interface trunk information
• switchport trunk native vlan vlan-id — modifies the native VLAN for an interface
• show running-config — displays the active configuration file",Task 1: Explore the Current Configuration | Task 2: Explore the Native VLAN | Task 3: Understand VLAN Leaking,3,10,"Device Basics, Interface Configuration, NAT, VLANs"
22,Configure and Verify VTP,"Manually configuring virtual local area networks (VLANs) on every switch in a large network can be a daunting task. To address this problem, Cisco created VLAN Trunking Protocol (VTP). VTP is a Layer 2 protocol that propagates VLAN configuration information from one switch to another throughout a network.",configure terminal; enable; exit; show running-config; show vlan brief; show vtp status; vlan number [name vlan-name]; vtp domain domain-name; vtp mode {server | transparent | client},"• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• exit — exits one level in the menu structure
• show running-config — displays the active configuration file
• show vlan brief — displays parameters for all VLANs; contains the VLAN name, status, and ports assigned to it
• show vtp status — displays the current VTP status
• vlan number [name vlan-name] — creates or configures a VLAN with an optional name
• vtp domain domain-name — assigns the VTP domain name
• vtp mode {server | transparent | client} — configures the VTP mode",Task 1: Configure the VTP Domain | Task 2: Configure the VTP Mode | Task 3: Verify VTP Mode Operation,3,9,"Device Basics, VLANs, VTP"
23,Configure and Verify CDP,"Cisco Discovery Protocol (CDP) is a Cisco-proprietary neighbor-discovery protocol that is natively supported by nearly every Cisco-branded hardware platform. CDP operates at Layer 2, the Data Link layer, of the Open Systems Interconnection (OSI) model; therefore, even devices that use different Layer 3 protocols can share neighbor information. In this lab, you will learn how to use CDP to view connected neighbor devices.",cdp enable; no cdp enable; cdp holdtime [seconds]; cdp run; no cdp run; cdp timer seconds; configure terminal; enable; end; interface type number; ping ip-address; show cdp; show cdp entry [* | hostname]; show cdp interface [interface-id]; show cdp neighbors; show cdp neighbors detail; show cdp traffic; show running-config,"• cdp enable; no cdp enable — enables CDP on an interface; disables CDP on an interface
• cdp holdtime [seconds] — specifies the number of seconds that a device will retain a CDP entry before discarding it
• cdp run; no cdp run — enables CDP globally; disables CDP globally
• cdp timer seconds — specifies the number of seconds between CDP advertisements
• configure terminal — enters global configuration mode from privileged EXEC mode
• enable — enters privileged EXEC mode
• end — ends and exits configuration mode
• interface type number — changes from global configuration mode to interface configuration mode
• ping ip-address — sends an Internet Control Message Protocol (ICMP) Echo Request to the specified address
• show cdp — displays global CDP information
• show cdp entry [* | hostname] — displays CDP information about a specific CDP neighbor
• show cdp interface [interface-id] — displays CDP information for each local interface
• show cdp neighbors — displays information about directly connected Cisco devices
• show cdp neighbors detail — displays detailed information about directly connected Cisco devices
• show cdp traffic — displays CDP traffic information
• show running-config — displays the active configuration file",Task 1: View CDP Neighbors | Task 2: Verify and Modify the CDP Configuration | Task 3: Disable CDP Globally | Task 4: Disable CDP on an Interface,4,16,"CDP, Device Basics, Interface Configuration, NAT"
